ANTIBIOTIC,SPECIES,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions,Observations,ECOFF,ECOFF_tentative,accessed
Amikacin,Acinetobacter anitratus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30,60,43,17,13,16,0,0,0,0,1,183,,,2021-02-14 23:24:29.981612
Amikacin,Acinetobacter baumannii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,294,716,524,235,148,164,62,33,70,0,9,2294,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Acinetobacter calcoaceticus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26,55,41,18,16,10,0,0,0,0,1,171,,,2021-02-14 23:24:29.981612
Amikacin,Acinetobacter lwoffii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,87,45,25,13,6,9,0,0,0,0,1,259,,,2021-02-14 23:24:29.981612
Amikacin,Acinetobacter pittii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,10,1,0,3,0,0,0,0,1,38,,,2021-02-14 23:24:29.981612
Amikacin,Alcaligenes faecalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,15,7,0,0,0,0,0,0,1,23,,,2021-02-14 23:24:29.981612
Amikacin,Chryseobacterium spp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12,3,2,0,0,2,1,19,,,2021-02-14 23:24:29.981612
Amikacin,Citrobacter amalonaticus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,18,5,1,0,1,0,0,0,0,1,32,,,2021-02-14 23:24:29.981612
Amikacin,Citrobacter braakii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,20,4,0,0,1,0,0,0,0,1,34,,,2021-02-14 23:24:29.981612
Amikacin,Citrobacter freundii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,371,617,139,38,26,19,4,0,1,0,6,1244,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Citrobacter koseri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,240,164,27,5,0,2,0,0,0,0,3,506,8.0,True,2021-02-14 23:24:29.981612
Amikacin,Enterobacter amnigenus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,7,3,0,0,0,0,0,0,0,1,21,,,2021-02-14 23:24:29.981612
Amikacin,Enterobacter asburiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,5,0,3,0,0,0,0,0,1,24,,,2021-02-14 23:24:29.981612
Amikacin,Enterobacter cloacae,0.0,0.0,0.0,0.0,0.0,2.0,9.0,70.0,425.0,2108,3095,475,177,202,93,13,0,2,4,15,6675,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Enterobacter sakazakii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,27,2,2,2,0,0,0,0,0,1,52,,,2021-02-14 23:24:29.981612
Amikacin,Enterococcus faecalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,3,16,5,46,22,3,2,98,,,2021-02-14 23:24:29.981612
Amikacin,Enterococcus faecium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,6,10,25,8,0,0,1,52,,,2021-02-14 23:24:29.981612
Amikacin,Escherichia coli,0.0,0.0,0.0,2.0,1.0,0.0,1.0,28.0,329.0,4723,15660,6316,1134,191,56,36,4,5,45,21,28531,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Escherichia coli ATCC 25922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,66,11,0,0,0,0,0,0,0,2,87,,,2021-02-14 23:24:29.981612
Amikacin,Escherichia coli NCTC 13846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,67,32,4,0,0,0,0,0,0,2,117,,,2021-02-14 23:24:29.981612
Amikacin,Haemophilus influenzae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7,184,670,830,98,5,0,0,0,0,2,1799,,,2021-02-14 23:24:29.981612
Amikacin,Klebsiella aerogenes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,27.0,432,1119,412,198,160,98,23,4,1,4,16,2485,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Klebsiella oxytoca,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,65.0,1156,1454,385,69,41,28,13,4,0,1,17,3224,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Klebsiella ozaenae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8,7,2,0,1,0,0,0,0,0,1,24,,,2021-02-14 23:24:29.981612
Amikacin,Klebsiella pneumoniae,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,373.0,5350,4507,580,390,614,110,23,6,25,77,16,12078,8.0,False,2021-02-14 23:24:29.981612
Amikacin,Lactobacillus reuteri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,24,14,2,0,0,0,1,49,,,2021-02-14 23:24:29.981612
Amikacin,Morganella morganii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,109,120,53,27,3,0,3,0,0,0,4,347,8.0,True,2021-02-14 23:24:29.981612
Amikacin,Mycobacterium abscessus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,20,84,56,22,10,9,0,0,4,204,,,2021-02-14 23:24:29.981612
Amikacin,Mycobacterium avium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,50,227,429,131,23,3,0,0,4,870,,,2021-02-14 23:24:29.981612
